Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
Desmond Ridder;QB;Raiders;;RFA;11.8%;26;$985,000;$0
Zachary Thomas;RT;Texans;;RFA;9.2%;27;$985,000;$0
Julius Chestnut;RB;Titans;;RFA;7.7%;25;$985,000;$0
Foster Sarell;LT;Chargers;;RFA;3.7%;27;$985,000;$0
Quintin Morris;TE;Bills;;RFA;19.7%;26;$985,000;$0
Malik Herring;EDGE;Chiefs;;RFA;17.2%;28;$985,000;$0
Jody Fortson;TE;Chiefs;;UFA;3.5%;30;$985,000;$0
Raheem Blackshear;RB;Panthers;;RFA;5.9%;27;$985,000;$0
Christian Matthew;CB;Ravens;;RFA;0.0%;29;$985,000;$0
Kayode Awosika;LG;Lions;;RFA;12.8%;27;$985,000;$0
Joe Giles-Harris;LB;Jaguars;;RFA;1.5%;28;$985,000;$0
Jack Cochrane;LB;Chiefs;;RFA;0.8%;26;$985,000;$0
Jesse Luketa;EDGE;Cardinals;;RFA;17.3%;26;$985,000;$0
Josh Jobe;CB;Seahawks;;RFA;39.1%;27;$985,000;$0
Anthony Schwartz;WR;Dolphins;;RFA;0.0%;25;$985,000;$0
Tim Jones;WR;Jaguars;;RFA;16.4%;27;$985,000;$0
Bailey Zappe;QB;Browns;;RFA;4.5%;26;$985,000;$0
Ronnie Rivers;RB;Rams;;RFA;7.4%;26;$985,000;$0
Ar'Darius Washington;S;Ravens;;RFA;64.2%;26;$985,000;$0
Michael Dwumfour;IDL;Browns;;ERFA;0.5%;27;$985,000;$0
Isaiah Pola-Mao;S;Raiders;;RFA;85.6%;26;$985,000;$0
Velus Jones Jr.;WR;Panthers;;RFA;0.7%;28;$985,000;$0
Darrell Baker Jr.;CB;Titans;;ERFA;59.4%;27;$985,000;$0
Keith Taylor;CB;Chiefs;;RFA;7.3%;27;$985,000;$0
Deven Thompkins;WR;Panthers;;RFA;4.9%;26;$985,000;$0
Caleb Farley;CB;Panthers;;UFA;13.9%;27;$985,000;$0
Liam McCullough;LS;Falcons;;RFA;29.1%;28;$985,000;$0
Peyton Hendershot;TE;Chiefs;;RFA;5.9%;26;$985,000;$0
Jaelon Darden;WR;Seahawks;;RFA;1.9%;26;$985,000;$0
Theo Jackson;S;Vikings;;RFA;6.9%;27;$985,000;$0
Quinton Bell;EDGE;Dolphins;;RFA;24.2%;29;$985,000;$0
Jack Gibbens;LB;Titans;;ERFA;22.2%;27;$985,000;$0
Feleipe Franks;QB;Panthers;;UFA;4.3%;28;$985,000;$0
Cade Mays;LG;Panthers;;RFA;47.6%;26;$985,000;$0
Christian Elliss;LB;Patriots;;RFA;45.9%;26;$985,000;$0
Zachary Carter;IDL;Raiders;;RFA;23.3%;26;$985,000;$0
Sam Webb;CB;Raiders;;ERFA;1.2%;27;$985,000;$0
Shane Zylstra;TE;Lions;;RFA;9.5%;29;$985,000;$0
Myles Adams;IDL;Lions;;UFA;7.4%;27;$985,000;$0
Eric Banks;IDL;Buccaneers;;UFA;0.0%;27;$985,000;$0
Cameron McGrone;LB;Colts;Colts;Signed;0.1%;25;$1,100,000;$0
Kyle Hinton;RG;Falcons;;RFA;7.2%;27;$977,500;$100,000
Luke Farrell;TE;Jaguars;;UFA;37.8%;28;$959,505;$358,020
Jamien Sherwood;LB;Jets;;UFA;92.8%;25;$958,714;$354,856
Ta'Quon Graham;IDL;Falcons;;UFA;17.3%;27;$957,653;$350,612
Kenneth Gainwell;RB;Eagles;;UFA;26.0%;26;$953,881;$335,524
Larry Borom;LT;Bears;;UFA;29.0%;26;$953,269;$333,076
Jaylon Moore;LT;49ers;;UFA;25.1%;27;$950,759;$323,036
Isaiahh Loudermilk;IDL;Steelers;;UFA;20.3%;28;$950,072;$320,288
Brenden Jaimes;C;Chargers;;UFA;0.9%;26;$949,449;$317,796
Tommy Doyle;LT;Bills;;UFA;0.0%;27;$948,933;$315,732
Darrick Forrest;S;Commanders;;UFA;6.8%;26;$947,769;$311,076
Jeremy Flax;RG;Vikings;;ERFA;0.0%;26;$946,667;$50,000
Nate Hobbs;CB;Raiders;;UFA;49.9%;26;$945,763;$303,052
Tedarrell Slaton;IDL;Packers;;UFA;39.2%;28;$940,130;$280,520
Jason Pinnock;S;Giants;;UFA;89.3%;26;$937,612;$270,448
K.J. Britt;LB;Buccaneers;;UFA;54.9%;26;$936,574;$266,296
Talanoa Hufanga;S;49ers;;UFA;28.9%;25;$930,038;$240,152
Avery Williams;RB;Falcons;;UFA;0.9%;27;$930,038;$240,152
Brock Hoffman;RG;Cowboys;;ERFA;44.2%;26;$927,500;$0
Joey Blount;S;Cardinals;;RFA;1.8%;27;$927,500;$0
Kion Smith;RT;Dolphins;;ERFA;0.0%;27;$927,500;$0
Nephi Sewell;LB;Saints;;ERFA;6.2%;27;$927,500;$0
Timmy Horne;IDL;Giants;;RFA;0.0%;28;$927,500;$0
D.J. Turner;WR;Raiders;;RFA;31.9%;28;$927,500;$0
Micah Abernathy;S;Falcons;;ERFA;0.0%;28;$927,500;$0
Xavier Newman-Johnson;RG;Jets;;ERFA;1.0%;26;$927,500;$0
Janarius Robinson;EDGE;Raiders;;UFA;9.8%;27;$927,500;$0
J.J. Russell;LB;Buccaneers;;RFA;22.3%;27;$927,500;$0
Chazz Surratt;LB;Jets;;RFA;11.9%;28;$927,500;$0
Britain Covey;WR;Eagles;;RFA;4.3%;28;$927,500;$0
Nick Niemann;LB;Chargers;;UFA;4.0%;28;$923,502;$214,008
Elijah Mitchell;RB;49ers;;UFA;0.0%;27;$915,893;$183,572
Daniel Whelan;K;Packers;;ERFA;33.3%;26;$915,000;$0
Jake Tonges;TE;49ers;;ERFA;3.2%;26;$915,000;$0
Jonathan Ford;IDL;Bears;;ERFA;7.2%;27;$915,000;$0
Daniel Hardy;EDGE;Bears;;ERFA;2.9%;27;$915,000;$0
Nazeeh Johnson;S;Chiefs;;RFA;45.7%;27;$915,000;$0
LaBryan Ray;IDL;Panthers;;ERFA;51.5%;28;$915,000;$0
Segun Olubi;LB;Colts;Colts;Signed;1.8%;26;$1,030,000;$0
Jeremiah Moon;EDGE;Steelers;;ERFA;10.2%;27;$915,000;$0
Tomon Fox;EDGE;Giants;;ERFA;19.0%;27;$915,000;$0
De'Shaan Dixon;EDGE;Jaguars;;ERFA;0.0%;27;$915,000;$0
Arron Mosby;EDGE;Packers;;ERFA;13.8%;26;$915,000;$0
Ben Brown;C;Patriots;;ERFA;61.0%;27;$915,000;$0
Josh Ross;LB;Seahawks;;ERFA;0.0%;26;$915,000;$0
James Houston;EDGE;Browns;;RFA;12.9%;27;$915,000;$0
Alex Barrett;EDGE;49ers;;ERFA;2.2%;31;$915,000;$0
Doug Kramer;C;Bears;;RFA;7.4%;27;$915,000;$0
Raequan Williams;IDL;Panthers;;ERFA;0.0%;28;$915,000;$0
Divaad Wilson;CB;Giants;;ERFA;2.4%;25;$915,000;$0
Sam Okuayinonu;EDGE;49ers;;ERFA;42.2%;27;$915,000;$0
Blake Whiteheart;TE;Browns;;ERFA;17.5%;25;$915,000;$0
Brady Russell;TE;Seahawks;;ERFA;3.0%;27;$915,000;$0
Bill Murray;LG;Bears;;ERFA;0.0%;28;$915,000;$0
Carter O'Donnell;RG;Cardinals;;RFA;0.0%;27;$915,000;$0
Jalen Graham;LB;49ers;;ERFA;3.4%;24;$915,000;$0
Alex Austin;CB;Patriots;;ERFA;20.9%;24;$915,000;$0
Kanai Mauga;LB;Raiders;;ERFA;0.0%;25;$915,000;$0
Ameer Speed;CB;Bears;;ERFA;0.3%;25;$915,000;$0
Brayden Willis;TE;49ers;;ERFA;2.3%;26;$915,000;$0
Chris Rodriguez Jr.;RB;Commanders;;ERFA;6.6%;26;$915,000;$0
Tucker Fisk;TE;Chargers;;ERFA;19.3%;26;$915,000;$0
Matthew Butler;IDL;Raiders;;ERFA;9.1%;26;$915,000;$0
Esezi Otomewo;IDL;Jaguars;;ERFA;7.5%;26;$915,000;$0
Dalton Keene;TE;Texans;;RFA;0.0%;26;$915,000;$0
Jordan Meredith;LG;Raiders;;ERFA;51.1%;27;$915,000;$0
Mike Caliendo;LG;Chiefs;;ERFA;20.6%;28;$915,000;$0
Jonathan Sutherland;S;Giants;;ERFA;0.0%;27;$915,000;$0
Kaevon Merriweather;S;Buccaneers;;ERFA;23.2%;26;$915,000;$0
Emanuel Wilson;RB;Packers;;ERFA;24.3%;26;$915,000;$0
Ryan McCollum;C;Steelers;;ERFA;13.6%;27;$915,000;$0
Cody White;WR;Seahawks;;ERFA;5.6%;27;$915,000;$0
Brandin Echols;CB;Jets;;UFA;35.5%;28;$913,548;$174,192
Chris Evans;RB;Bengals;;UFA;0.0%;28;$913,222;$172,888
Landon Young;RT;Saints;;UFA;36.1%;28;$912,445;$169,780
Stone Forsythe;LT;Seahawks;;UFA;37.6%;28;$911,656;$166,624
Victor Dimukeje;EDGE;Cardinals;;UFA;14.5%;26;$910,465;$161,860
Damar Hamlin;S;Bills;;UFA;79.2%;27;$910,119;$160,476
Israel Mukuamu;S;Cowboys;;UFA;18.1%;26;$902,676;$130,704
Isaiah McDuffie;LB;Packers;;UFA;64.2%;26;$902,676;$130,704
Trey Smith;RG;Chiefs;;UFA;97.3%;26;$902,676;$130,704
Sam Ehlinger;QB;Colts;;UFA;0.0%;27;$902,676;$130,704
Khalil Herbert;RB;Bengals;;UFA;12.3%;27;$902,676;$130,704
Patrick Johnson;EDGE;Giants;;UFA;4.2%;27;$896,468;$105,872
Will Fries;RG;Colts;;UFA;24.7%;27;$891,344;$85,376
Grant Stuard;LB;Colts;;UFA;19.8%;28;$889,062;$76,248
Kader Kohou;CB;Dolphins;;RFA;66.5%;27;$863,333;$40,000
Kurt Hinish;IDL;Texans;;RFA;21.1%;26;$861,667;$85,000
Markquese Bell;S;Cowboys;;RFA;3.1%;26;$858,333;$215,000
Jaylen Warren;RB;Steelers;;RFA;39.6%;27;$857,333;$12,000
Dee Alford;CB;Falcons;;RFA;65.0%;28;$856,833;$60,000
Ryan Stonehouse;P;Titans;;RFA;26.2%;26;$856,667;$10,000
Tony Adams;S;Jets;;RFA;62.5%;26;$856,667;$110,000
Luke Masterson;LB;Raiders;;RFA;9.1%;27;$856,667;$70,000
Wesley French;LG;Colts;;RFA;0.0%;29;$856,667;$10,000
Jake Hansen;LB;Texans;;RFA;12.2%;27;$855,833;$22,500
Jack Sanborn;LB;Bears;;RFA;22.0%;25;$855,833;$17,500
D'Anthony Bell;S;Browns;;RFA;8.6%;29;$855,833;$60,000
Ryan Wright;P;Vikings;;RFA;32.9%;25;$855,000;$20,000
Jake Hummel;LB;Rams;;RFA;6.6%;26;$855,000;$5,000
Stone Smartt;TE;Chargers;;RFA;17.0%;28;$855,000;$5,000
Jaylon Jones;CB;Bears;;RFA;7.1%;28;$854,167;$2,500
Mitchell Fraboni;LS;Broncos;;RFA;28.8%;29;$853,333;$0
Kavontae Turpin;WR;Cowboys;;RFA;26.9%;29;$853,333;$0
Jordan Mason;RB;49ers;;RFA;35.0%;26;$853,333;$40,000
Mike Brown;S;Titans;;ERFA;36.5%;26;$853,333;$0
Ryan Van Demark;LT;Bills;;ERFA;18.3%;27;$837,000;$9,000
Alec Anderson;RG;Bills;;ERFA;26.7%;26;$836,750;$8,500
Tommy DeVito;QB;Giants;;ERFA;8.1%;27;$832,500;$0
Jeremiah Pharms;IDL;Patriots;;ERFA;40.9%;29;$832,500;$0
Keondre Coburn;IDL;Titans;;ERFA;11.4%;25;$832,500;$0
Tyrus Wheat;EDGE;Cowboys;;ERFA;14.9%;26;$832,500;$0
Trevor Nowaske;LB;Lions;;ERFA;30.3%;27;$832,500;$0
Otis Reese;LB;Titans;;ERFA;8.4%;27;$832,500;$0
Travis Vokolek;TE;Cardinals;;ERFA;1.1%;27;$832,500;$0
Ben VanSumeren;LB;Eagles;;ERFA;0.0%;25;$832,500;$0
TK McLendon;IDL;Titans;;ERFA;0.0%;26;$832,500;$0
Tyler Goodson;RB;Colts;Colts;Signed;12.1%;25;$1,030,000;$0
Andrew Rupcich;RT;Titans;;ERFA;1.5%;26;$832,500;$0
Chance Campbell;LB;Titans;;RFA;0.0%;26;$832,500;$0
Lucas Krull;TE;Broncos;;ERFA;27.1%;27;$832,500;$0
Bo Melton;WR;Packers;;ERFA;23.2%;26;$832,500;$0
Cameron Goode;EDGE;Dolphins;;ERFA;1.1%;27;$832,500;$0
Juanyeh Thomas;S;Cowboys;;ERFA;8.5%;25;$832,500;$0
Irvin Charles;WR;Jets;;ERFA;0.9%;28;$832,500;$0
Ryan Rehkow;P;Bengals;;ERFA;28.0%;27;$795,000;$0
Mitchell Agude;EDGE;Lions;;ERFA;3.6%;26;$795,000;$0
Josh Onujiogu;EDGE;Seahawks;;ERFA;0.0%;27;$795,000;$0
Connor Galvin;LT;Lions;;ERFA;0.0%;26;$795,000;$0
Cam Grandy;TE;Bengals;;ERFA;6.6%;26;$795,000;$0
Jaxson Kirkland;RG;Bengals;;ERFA;0.3%;27;$795,000;$0
Evan Anderson;IDL;49ers;;ERFA;25.0%;23;$795,000;$0
Devon Key;S;Broncos;;ERFA;21.7%;28;$795,000;$0
Austen Pleasants;RT;49ers;;ERFA;6.2%;28;$795,000;$0
Demontrey Jacobs;RT;Patriots;;ERFA;79.3%;27;$795,000;$0
JaQuae Jackson;WR;Patriots;;ERFA;2.2%;25;$795,000;$0
Dyontae Johnson;LB;Giants;;ERFA;3.4%;25;$795,000;$0
C.J. Brewer;IDL;Buccaneers;;ERFA;14.3%;28;$795,000;$0
Douglas Coleman III;S;Bears;;ERFA;0.0%;27;$795,000;$0
Winston Reid;LB;Browns;;ERFA;13.3%;26;$795,000;$0
Owen Wright;RB;Ravens;;ERFA;0.0%;26;$795,000;$0
Michael Niese;LG;Lions;;ERFA;3.1%;27;$795,000;$0
Dylan McMahon;C;Rams;;ERFA;6.1%;24;$795,000;$0
Morice Norris;CB;Lions;;ERFA;0.1%;25;$795,000;$0
Kadeem Telfort;LT;Packers;;ERFA;2.1%;27;$795,000;$0
Ryan Coll;LT;Colts;;ERFA;0.0%;24;$795,000;$0
Jalen Redmond;IDL;Vikings;;ERFA;18.3%;26;$795,000;$0
Grant DuBose;WR;Dolphins;;ERFA;4.4%;24;$795,000;$0
Charles Snowden;EDGE;Raiders;;ERFA;36.4%;27;$795,000;$0
Dondrea Tillman;EDGE;Broncos;;ERFA;21.0%;27;$795,000;$0
Jordan Jackson;IDL;Broncos;;ERFA;26.8%;27;$795,000;$0
Matt Araiza;P;Chiefs;;ERFA;29.7%;25;$795,000;$0
Spencer Shrader;K;Chiefs;;ERFA;6.9%;26;$795,000;$0
Robert Burns;FB;Falcons;;ERFA;0.0%;27;$795,000;$0
Ja'Quan McMillian;CB;Broncos;;ERFA;75.3%;25;$790,000;$0
Angelo Blackson;IDL;Cardinals;;SFA;2.2%;33;$408,022;$0
Carter Coughlin;LB;Giants;;SFA;0.0%;28;$348,100;$0
Stephen Sullivan;TE;Panthers;;SFA;0.8%;29;$302,400;$0
Jason Peters;LT;Seahawks;;SFA;0.0%;43;$302,400;$0
Tommy Sweeney;TE;Bears;;SFA;0.0%;30;$302,400;$0
Tre Flowers;CB;Colts;;SFA;1.3%;30;$302,400;$0
Cody Thompson;WR;Buccaneers;;SFA;0.3%;29;$267,222;$0
Baylor Cupp;TE;Chiefs;;SFA;0.5%;25;$256,667;$0
Ellis Merriweather;RB;Packers;;SFA;0.0%;26;$256,667;$0
Kazmeir Allen;WR;Commanders;;SFA;5.2%;25;$225,000;$0
Trajan Jeffcoat;EDGE;Saints;;SFA;0.0%;26;$225,000;$0
Qadir Ismail;WR;Ravens;;SFA;0.0%;25;$225,000;$0
Jimmy Morrissey;C;Giants;Giants;Signed;0.0%;27;$1,030,000;$0
Mason Pline;TE;49ers;49ers;Signed;0.0%;25;$840,000;$0
Haggai Chisom Ndubuisi;RG;Commanders;;SFA;0.0%;25;$225,000;$0
Jason Bean;QB;Colts;Colts;Signed;0.0%;26;$840,000;$0
Henry Byrd;RG;Vikings;;SFA;0.0%;26;$225,000;$0
Zyon Gilbert;CB;Steelers;;SFA;0.0%;26;$225,000;$0
Daniel Grzesiak;EDGE;Buccaneers;;SFA;0.0%;25;$225,000;$0
Jamie Sheriff;LB;Seahawks;Seahawks;Signed;1.4%;25;$840,000;$0
