Player;Pos.;2024 Team;2025 Team;Type;Snaps;Age;Current APY;Guarantees
Matthew Adams;LB;Giants;;UFA;0.1%;30;$1,292,500;$967,500
Michael Badgley;K;Lions;;UFA;0.0%;30;$1,292,500;$425,000
Brady Christensen;LG;Panthers;;UFA;38.4%;29;$1,290,821;$1,115,112
Milton Williams;IDL;Eagles;;UFA;47.9%;26;$1,277,546;$1,076,496
Benjamin St-Juste;CB;Commanders;;UFA;77.3%;28;$1,275,190;$1,069,640
D'Ernest Johnson;RB;Jaguars;;UFA;18.6%;29;$1,275,000;$225,000
Joe Bachie;LB;Bengals;;UFA;3.3%;27;$1,275,000;$75,000
Osa Odighizuwa;IDL;Cowboys;;UFA;78.1%;27;$1,271,550;$1,059,048
Joey Slye;K;Patriots;;UFA;27.9%;29;$1,267,500;$0
Paulson Adebo;CB;Saints;;UFA;37.2%;26;$1,261,250;$1,029,096
MyCole Pruitt;TE;Steelers;;UFA;24.0%;33;$1,260,000;$0
Rick Lovato;LS;Eagles;;UFA;30.8%;33;$1,260,000;$550,000
Jamison Crowder;WR;Commanders;;UFA;10.1%;32;$1,260,000;$0
Le'Raven Clark;RT;Eagles;;UFA;0.0%;32;$1,260,000;$175,000
Josh Palmer;WR;Chargers;;UFA;57.7%;26;$1,258,014;$1,019,676
Justin Skule;LT;Buccaneers;;UFA;31.6%;29;$1,255,000;$600,000
Rico Dowdle;RB;Cowboys;;UFA;54.3%;27;$1,255,000;$200,000
Malcolm Koonce;EDGE;Raiders;;UFA;0.0%;27;$1,249,490;$994,880
Divine Deablo;LB;Raiders;;UFA;61.8%;27;$1,245,209;$982,424
Hunter Long;TE;Rams;;UFA;25.6%;27;$1,242,174;$973,596
Dyami Brown;WR;Commanders;;UFA;40.8%;26;$1,236,000;$955,636
Tommy Tremble;TE;Panthers;;UFA;49.9%;25;$1,231,609;$942,860
Chauncey Golston;EDGE;Cowboys;;UFA;71.6%;27;$1,229,147;$935,700
Michael Jackson Sr.;CB;Panthers;;UFA;98.9%;28;$1,222,500;$167,500
Danny Pinter;RG;Colts;;UFA;12.7%;29;$1,222,500;$500,000
